STATION,STATION_NAME,DATE,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT05,WT11,WT04,WT03
GHCND:USC00319467,WILMINGTON 7 N NC US,19720420,-9999,-9999,-9999,-9999,0.00,0.0,0.0,81,57,75,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720421,-9999,-9999,-9999,-9999,0.00,0.0,0.0,86,55,56,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720422,-9999,-9999,-9999,-9999,0.00,0.0,0.0,73,51,73,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720423,-9999,-9999,-9999,-9999,0.00,0.0,0.0,79,55,58,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720424,-9999,-9999,-9999,-9999,0.00,0.0,0.0,77,50,68,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720425,-9999,-9999,-9999,-9999,0.26,0.0,0.0,82,51,55,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720426,-9999,-9999,-9999,-9999,0.00,0.0,0.0,60,39,55,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720427,-9999,-9999,-9999,-9999,0.00,0.0,0.0,66,34,62,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720428,-9999,-9999,-9999,-9999,0.00,0.0,0.0,75,40,69,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720429,-9999,-9999,-9999,-9999,0.00,0.0,0.0,79,52,71,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720430,-9999,-9999,-9999,-9999,0.00,0.0,0.0,78,48,74,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720501,-9999,-9999,-9999,-9999,0.00,0.0,0.0,78,50,67,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720502,-9999,-9999,-9999,-9999,0.00,0.0,0.0,79,51,72,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720503,-9999,-9999,-9999,-9999,0.42,0.0,0.0,82,63,69,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720504,-9999,-9999,-9999,-9999,0.43,0.0,0.0,73,64,69,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720505,-9999,-9999,-9999,-9999,0.00,0.0,0.0,84,52,64,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720506,-9999,-9999,-9999,-9999,0.00,0.0,0.0,80,47,68,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720507,-9999,-9999,-9999,-9999,0.00,0.0,0.0,77,52,70,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720508,-9999,-9999,-9999,-9999,0.00,0.0,0.0,80,51,71,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720509,-9999,-9999,-9999,-9999,0.26,0.0,0.0,76,67,72,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720510,-9999,-9999,-9999,-9999,0.00,0.0,0.0,87,58,60,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720511,-9999,-9999,-9999,-9999,0.00,0.0,0.0,74,43,63,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720512,-9999,-9999,-9999,-9999,0.00,0.0,0.0,75,44,66,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720513,-9999,-9999,-9999,-9999,0.00,0.0,0.0,80,46,68,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720514,-9999,-9999,-9999,-9999,0.13,0.0,0.0,78,67,68,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720515,-9999,-9999,-9999,-9999,0.56,0.0,0.0,77,65,70,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720516,-9999,-9999,-9999,-9999,0.00,0.0,0.0,81,65,69,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720517,-9999,-9999,-9999,-9999,0.00,0.0,0.0,85,55,71,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720518,-9999,-9999,-9999,-9999,0.00,0.0,0.0,84,55,68,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720519,-9999,-9999,-9999,-9999,0.11,0.0,0.0,84,60,65,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720520,-9999,-9999,-9999,-9999,0.00,0.0,0.0,77,55,66,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720521,-9999,-9999,-9999,-9999,0.16,0.0,0.0,81,58,65,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720522,-9999,-9999,-9999,-9999,0.57,0.0,0.0,68,60,63,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720523,-9999,-9999,-9999,-9999,0.00,0.0,0.0,74,61,64,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720524,-9999,-9999,-9999,-9999,0.02,0.0,0.0,71,61,62,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720525,-9999,-9999,-9999,-9999,0.21,0.0,0.0,73,61,66,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720526,-9999,-9999,-9999,-9999,0.04,0.0,0.0,70,55,56,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720527,-9999,-9999,-9999,-9999,0.19,0.0,0.0,60,56,60,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720528,-9999,-9999,-9999,-9999,0.00,0.0,0.0,69,58,69,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720529,-9999,-9999,-9999,-9999,0.15,0.0,0.0,77,64,68,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720530,-9999,-9999,-9999,-9999,0.02,0.0,0.0,80,59,70,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720531,-9999,-9999,-9999,-9999,0.15,0.0,0.0,84,68,72,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720601,-9999,-9999,-9999,-9999,0.08,0.0,0.0,84,58,61,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720602,-9999,-9999,-9999,-9999,0.00,0.0,0.0,79,48,69,-9999,-9999,-9999,-9999,-9999
